rank,label,candidate_hidden,candidate_learning_rate,candidate_batch_size,candidate_seed,split,mode,threshold,repeats,ns_per_forward,real_speedup_vs_dense,estimated_speedup,ops_saved_ratio,avg_sparsity,avg_active_by_layer
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,dense,0.00000000,300,148063.02036667,1.00000000,1.00000000,0.00000000,0.00000000,L0=32.00/32;L1=64.00/64;L2=512.00/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_exact,0.00000000,300,109821.89140000,1.34821044,1.10956745,0.09874790,0.51669408,L0=7.09/32;L1=35.53/64;L2=251.23/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.02500000,300,110958.16870000,1.33440397,1.11402128,0.10235108,0.53238487,L0=6.89/32;L1=34.40/64;L2=243.02/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.05000000,300,111724.10110000,1.32525587,1.11762169,0.10524285,0.54656250,L0=6.77/32;L1=33.49/64;L2=235.43/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.07500000,300,109576.59156667,1.35122856,1.12151682,0.10835042,0.56108553,L0=6.57/32;L1=32.52/64;L2=227.77/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.10000000,300,107933.43506667,1.37179939,1.12490867,0.11103894,0.57536184,L0=6.42/32;L1=31.68/64;L2=220.08/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,dense,0.00000000,300,267045.63466667,1.00000000,1.00000000,0.00000000,0.00000000,L0=64.00/64;L1=32.00/32;L2=512.00/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_exact,0.00000000,300,208653.22130000,1.27985388,1.03986416,0.03833593,0.51797697,L0=31.67/64;L1=13.49/32;L2=247.91/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.02500000,300,207072.89946667,1.28962136,1.04060992,0.03902511,0.53093750,L0=30.95/64;L1=13.17/32;L2=241.07/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.05000000,300,206213.32476667,1.29499699,1.04126293,0.03962777,0.54388158,L0=30.19/64;L1=12.90/32;L2=234.23/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.07500000,300,209300.57036667,1.27589540,1.04202614,0.04033118,0.55654605,L0=29.50/64;L1=12.57/32;L2=227.55/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.10000000,300,206649.84593333,1.29226147,1.04297380,0.04120315,0.56894737,L0=28.76/64;L1=12.15/32;L2=221.17/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,dense,0.00000000,300,485599.78420000,1.00000000,1.00000000,0.00000000,0.00000000,L0=128.00/128;L1=32.00/32;L2=512.00/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_exact,0.00000000,300,382816.75886667,1.26849145,1.01952009,0.01914635,0.50468750,L0=70.19/128;L1=15.74/32;L2=246.92/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.02500000,300,382653.66956667,1.26903209,1.02006962,0.01967475,0.51882440,L0=68.29/128;L1=15.31/32;L2=239.75/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.05000000,300,380806.70313333,1.27518707,1.02064857,0.02023084,0.53352679,L0=66.41/128;L1=14.85/32;L2=232.21/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.07500000,300,382256.37296667,1.27035105,1.02108633,0.02065088,0.54752976,L0=64.60/128;L1=14.53/32;L2=224.93/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.10000000,300,380864.72200000,1.27499282,1.02164599,0.02118737,0.56223214,L0=62.57/128;L1=14.10/32;L2=217.51/512
