rank,label,candidate_hidden,candidate_learning_rate,candidate_batch_size,candidate_seed,split,mode,threshold,accuracy,accuracy_delta_from_dense,f1,f1_delta_from_dense,avg_sparsity,avg_active_ratio,estimated_speedup,ops_saved_ratio,max_abs_diff_from_dense,mismatch_count_from_dense,avg_active_by_layer
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_exact,0.00000000,0.50000000,0.00000000,0.43181818,0.00000000,0.51669408,0.48330592,1.10956745,0.09874790,0.00000000,0,L0=7.09/32;L1=35.53/64;L2=251.23/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.02500000,0.50000000,0.00000000,0.43181818,0.00000000,0.53238487,0.46761513,1.11402128,0.10235108,0.00667183,0,L0=6.89/32;L1=34.40/64;L2=243.02/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.05000000,0.50000000,0.00000000,0.43181818,0.00000000,0.54656250,0.45343750,1.11762169,0.10524285,0.00881920,0,L0=6.77/32;L1=33.49/64;L2=235.43/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.07500000,0.50000000,0.00000000,0.43181818,0.00000000,0.56108553,0.43891447,1.12151682,0.10835042,0.01901401,2,L0=6.57/32;L1=32.52/64;L2=227.77/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,test,sparse_threshold,0.10000000,0.49000000,-0.01000000,0.42696629,-0.00485189,0.57536184,0.42463816,1.12490867,0.11103894,0.03604976,1,L0=6.42/32;L1=31.68/64;L2=220.08/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,validation,sparse_exact,0.00000000,0.59000000,0.00000000,0.53932584,0.00000000,0.51866776,0.48133224,1.11145176,0.10027584,0.00000000,0,L0=7.21/32;L1=35.02/64;L2=250.42/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,validation,sparse_threshold,0.02500000,0.59000000,0.00000000,0.53932584,0.00000000,0.53417763,0.46582237,1.11619713,0.10410090,0.00450420,0,L0=6.99/32;L1=33.82/64;L2=242.41/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,validation,sparse_threshold,0.05000000,0.59000000,0.00000000,0.53932584,0.00000000,0.54886513,0.45113487,1.12045897,0.10750859,0.00854820,0,L0=6.81/32;L1=32.75/64;L2=234.73/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,validation,sparse_threshold,0.07500000,0.60000000,0.01000000,0.54545455,0.00612871,0.56371711,0.43628289,1.12363830,0.11003389,0.01984646,1,L0=6.61/32;L1=31.97/64;L2=226.68/512
1,top1_32x64x512_lr0p01_b16_s24,32x64x512,0.01,16,24,validation,sparse_threshold,0.10000000,0.59000000,0.00000000,0.53932584,0.00000000,0.57810855,0.42189145,1.12697515,0.11266899,0.03278350,0,L0=6.44/32;L1=31.15/64;L2=218.92/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_exact,0.00000000,0.50000000,0.00000000,0.26470588,0.00000000,0.51797697,0.48202303,1.03986416,0.03833593,0.00000000,0,L0=31.67/64;L1=13.49/32;L2=247.91/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.02500000,0.50000000,0.00000000,0.26470588,0.00000000,0.53093750,0.46906250,1.04060992,0.03902511,0.00413592,0,L0=30.95/64;L1=13.17/32;L2=241.07/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.05000000,0.51000000,0.01000000,0.28985507,0.02514919,0.54388158,0.45611842,1.04126293,0.03962777,0.01030954,1,L0=30.19/64;L1=12.90/32;L2=234.23/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.07500000,0.50000000,0.00000000,0.26470588,0.00000000,0.55654605,0.44345395,1.04202614,0.04033118,0.01675798,2,L0=29.50/64;L1=12.57/32;L2=227.55/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,test,sparse_threshold,0.10000000,0.51000000,0.01000000,0.26865672,0.00395084,0.56894737,0.43105263,1.04297380,0.04120315,0.03724888,3,L0=28.76/64;L1=12.15/32;L2=221.17/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,validation,sparse_exact,0.00000000,0.54000000,0.00000000,0.41025641,0.00000000,0.52077303,0.47922697,1.03999462,0.03845657,0.00000000,0,L0=31.62/64;L1=13.43/32;L2=246.32/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,validation,sparse_threshold,0.02500000,0.54000000,0.00000000,0.41025641,0.00000000,0.53307566,0.46692434,1.04064952,0.03906168,0.00368665,0,L0=30.99/64;L1=13.15/32;L2=239.75/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,validation,sparse_threshold,0.05000000,0.53000000,-0.01000000,0.40506329,-0.00519312,0.54537829,0.45462171,1.04142415,0.03977644,0.00973187,3,L0=30.19/64;L1=12.82/32;L2=233.40/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,validation,sparse_threshold,0.07500000,0.53000000,-0.01000000,0.40506329,-0.00519312,0.55725329,0.44274671,1.04197457,0.04028368,0.01838289,3,L0=29.45/64;L1=12.60/32;L2=227.14/512
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,validation,sparse_threshold,0.10000000,0.53000000,-0.01000000,0.40506329,-0.00519312,0.56968750,0.43031250,1.04265564,0.04091057,0.03097442,1,L0=28.79/64;L1=12.31/32;L2=220.53/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_exact,0.00000000,0.58000000,0.00000000,0.55319149,0.00000000,0.50468750,0.49531250,1.01952009,0.01914635,0.00000000,0,L0=70.19/128;L1=15.74/32;L2=246.92/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.02500000,0.56000000,-0.02000000,0.53191489,-0.02127660,0.51882440,0.48117560,1.02006962,0.01967475,0.00447471,2,L0=68.29/128;L1=15.31/32;L2=239.75/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.05000000,0.56000000,-0.02000000,0.54166667,-0.01152482,0.53352679,0.46647321,1.02064857,0.02023084,0.00926708,2,L0=66.41/128;L1=14.85/32;L2=232.21/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.07500000,0.57000000,-0.01000000,0.54736842,-0.00582307,0.54752976,0.45247024,1.02108633,0.02065088,0.01945720,1,L0=64.60/128;L1=14.53/32;L2=224.93/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,test,sparse_threshold,0.10000000,0.58000000,0.00000000,0.55319149,0.00000000,0.56223214,0.43776786,1.02164599,0.02118737,0.05249090,2,L0=62.57/128;L1=14.10/32;L2=217.51/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,validation,sparse_exact,0.00000000,0.64000000,0.00000000,0.65384615,0.00000000,0.50668155,0.49331845,1.01959943,0.01922267,0.00000000,0,L0=69.55/128;L1=15.70/32;L2=246.26/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,validation,sparse_threshold,0.02500000,0.63000000,-0.01000000,0.64761905,-0.00622710,0.52071429,0.47928571,1.02001800,0.01962515,0.00335539,1,L0=67.72/128;L1=15.40/32;L2=238.96/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,validation,sparse_threshold,0.05000000,0.64000000,0.00000000,0.65384615,0.00000000,0.53474702,0.46525298,1.02057948,0.02016450,0.01355458,0,L0=65.79/128;L1=14.96/32;L2=231.90/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,validation,sparse_threshold,0.07500000,0.64000000,0.00000000,0.65384615,0.00000000,0.54973214,0.45026786,1.02113392,0.02069652,0.02306111,2,L0=63.68/128;L1=14.54/32;L2=224.36/512
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,validation,sparse_threshold,0.10000000,0.65000000,0.01000000,0.66666667,0.01282052,0.56305060,0.43694940,1.02164530,0.02118671,0.03686142,3,L0=61.94/128;L1=14.14/32;L2=217.55/512
